r,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
p01005,AL,0.01024751,0.009973263,0.022089815,0.023734777,0.0154,0.015402172,0.0154,0.020111684,0.015322958,0.017580848
p01009,AL,0.005123755,0.004520538,0.008835926,0.014388301,0.0198,0.023607613,0.0275,0.040941414,0.035023904,0.052610536
p01011,AL,0.005123755,0.004520538,0.008835926,0.009651794,0.0066,0.007144477,0.0077,0.010055842,0.007661479,0.009607139
p01013,AL,0.015371265,0.014959895,0.033134723,0.036391584,0.0253,0.026934205,0.0286,0.037350271,0.028456922,0.034808609
p01015,AL,0.017079184,0.014447002,0.026507778,0.043164904,0.0594,0.065930927,0.0726,0.101994643,0.083181772,0.118773613
p01017,AL,0.005123755,0.003588351,0.004417963,0.006404733,0.0077,0.009331723,0.011,0.015801972,0.013133964,0.018861191
p01019,AL,0.008539592,0.008621782,0.019880834,0.021913892,0.0154,0.016489263,0.0176,0.023703024,0.018606449,0.023623308
p01021,AL,0.006831673,0.005872019,0.011044908,0.013051515,0.011,0.011545097,0.0121,0.015083796,0.01094497,0.014016169
p01025,AL,0.022202939,0.021298008,0.046388612,0.056789909,0.0517,0.058229841,0.0649,0.091220559,0.074425796,0.102660386
p01027,AL,0.001707918,0.001351481,0.002208982,0.003399721,0.0044,0.004944166,0.0055,0.007900986,0.006566982,0.009634774
p01029,AL,0,0,0,0,0,0,0,0,0,0
p01031,AL,0.029034612,0.028568309,0.064060464,0.070962282,0.0506,0.054411957,0.0583,0.077573574,0.060197335,0.073617889
p01035,AL,0.013663347,0.013608414,0.030925741,0.033386572,0.022,0.023090194,0.0242,0.031604075,0.024078934,0.028793783
p01037,AL,0.001707918,0.001817575,0.004417963,0.004825897,0.0033,0.003300465,0.0033,0.004309647,0.003283491,0.004000672
p01039,AL,0.042697959,0.042176722,0.094986205,0.103559436,0.0704,0.075845386,0.0814,0.109177584,0.085370766,0.101567322
p01041,AL,0.008539592,0.008155688,0.017671852,0.023250678,0.0242,0.025290504,0.0264,0.03735014,0.030645916,0.042920492
p01045,AL,0.054653388,0.055365842,0.128120928,0.189289631,0.2332,0.252800537,0.2728,0.390739725,0.323971112,0.448363927
p01047,AL,0.039282122,0.041338134,0.099404168,0.179827643,0.2728,0.294036758,0.3157,0.435273263,0.349144542,0.491422593
p01051,AL,0.023910857,0.024047771,0.055224538,0.096439579,0.1419,0.152247382,0.1628,0.239184179,0.202481945,0.300747426
p01053,AL,0.029034612,0.028102215,0.061851483,0.066773143,0.044,0.045093296,0.0462,0.060335053,0.045968874,0.05355926
p01055,AL,0.056361306,0.053454667,0.114867039,0.20323098,0.3025,0.379726173,0.4587,0.658654947,0.547248499,0.785746836
p01061,AL,0.003415837,0.003169057,0.006626945,0.008225618,0.0077,0.007701086,0.0077,0.010055842,0.007661479,0.010423855
p01067,AL,0.01024751,0.009973263,0.022089815,0.032813082,0.0407,0.049946019,0.0594,0.084756057,0.070047808,0.098278992
p01069,AL,0.042697959,0.03938016,0.081732316,0.123026709,0.1551,0.182299166,0.2101,0.293773362,0.238600346,0.333320802
p01081,AL,0.071732571,0.087524403,0.238570004,0.517553941,0.8943,0.768867007,0.6402,0.851154521,0.65998169,0.922150401
p01085,AL,0.003415837,0.003169057,0.006626945,0.0074362,0.0055,0.005500776,0.0055,0.007182744,0.005472485,0.006395548
p01087,AL,0.003415837,0.002702963,0.004417963,0.005220606,0.0044,0.00440062,0.0044,0.005746195,0.004377988,0.004789752
p01097,AL,0,0,0,0,0,0,0,0,0,0
p01099,AL,0.034158367,0.03728369,0.092777224,0.147524782,0.198,0.177916723,0.1573,0.178133302,0.114922185,0.172692127
p01101,AL,0.17762351,0.178773752,0.410870563,0.751944873,1.1517,1.484512492,1.8249,2.646829309,2.217450919,3.156152997
p01109,AL,0.023910857,0.023115583,0.050806575,0.054116337,0.0341,0.035735446,0.0374,0.04812442,0.036118401,0.041965602
p01111,AL,0.001707918,0.001351481,0.002208982,0.004978556,0.0088,0.010975424,0.0132,0.017956828,0.014228461,0.022100417
p01113,AL,0.011955429,0.010858651,0.022089815,0.033997208,0.044,0.053246485,0.0627,0.091938671,0.077709287,0.113194781
p01115,AL,0.001707918,0.001351481,0.002208982,0.003399721,0.0044,0.003857075,0.0033,0.004309647,0.003283491,0.004817387
p01121,AL,0.001707918,0.001351481,0.002208982,0.002215594,0.0011,0.001100155,0.0011,0.001436549,0.001094497,0.001197438
p01123,AL,0.001707918,0.001817575,0.004417963,0.006404733,0.0077,0.008788178,0.0099,0.014365423,0.012039467,0.017663753
p01129,AL,0.011955429,0.011324745,0.024298797,0.02634508,0.0176,0.018146028,0.0187,0.024421331,0.018606449,0.02158152
p05007,AR,0.027209971,0.037449895,0.052665715,0.050629096,0.039983658,0.089769626,0.263161164,0.656131556,1.260909579,1.818283494
p05009,AR,0.098636146,0.098390095,0.099254618,0.231168766,0.64857213,0.923948836,1.80155747,2.817006553,3.39445689,4.792118006
p05015,AR,0.08503116,0.118476007,0.168125168,0.205386605,0.312430445,0.657615119,1.853093198,4.338956695,7.999179204,11.24657505
p05023,AR,0.010203739,0.012598625,0.016204836,0.015857684,0.013482861,0.029578065,0.085527378,0.208021202,0.39346612,0.567189945
p05033,AR,0.006802493,0.009775355,0.014179231,0.013724077,0.01115823,0.025057489,0.073465825,0.184386346,0.355807646,0.515187978
p05047,AR,0,0.001651526,0.004051209,0.003716682,0.002324631,0.005230166,0.015351068,0.0380079,0.072719811,0.103963787
p05061,AR,0.010203739,0.010947099,0.012153627,0.027335648,0.075318054,0.10758112,0.210528931,0.329413579,0.397361824,0.560033349
p05071,AR,0.010203739,0.010121336,0.010128022,0.011989305,0.017202272,0.030755818,0.07675534,0.153499,0.249325066,0.357478242
p05083,AR,0.013604986,0.012944607,0.012153627,0.024693101,0.064159824,0.092457891,0.18311631,0.293515266,0.367494759,0.520781256
p05087,AR,0.040814957,0.091682651,0.166099564,0.185966336,0.237112391,0.639205808,2.055946596,4.963282422,9.341898571,13.25917307
p05089,AR,0.006802493,0.008123829,0.010128022,0.011769093,0.016272419,0.0290422,0.07236932,0.153020423,0.261012179,0.372092542
p05097,AR,0.003401246,0.004474796,0.006076813,0.006070501,0.005579115,0.01217395,0.035088155,0.0856295,0.162321007,0.234349497
p05101,AR,0.010203739,0.015901677,0.024307253,0.024502215,0.023246313,0.057741847,0.178730291,0.476569646,0.953148951,1.35706228
p05109,AR,0.003401246,0.003649033,0.004051209,0.003826788,0.002789558,0.005850445,0.016447573,0.039892284,0.075316947,0.107612343
p05113,AR,0.003401246,0.003649033,0.004051209,0.003936894,0.003254484,0.006234194,0.016447573,0.038231352,0.070122675,0.101217332
p05127,AR,0,0.000825763,0.002025604,0.002133606,0.002324631,0.004520576,0.012061553,0.028617651,0.05324129,0.077501715
p05129,AR,0.010203739,0.010121336,0.010128022,0.015953126,0.033939617,0.051430157,0.10855398,0.191952055,0.273997859,0.392139528
p05131,AR,0.017006232,0.023199744,0.032409671,0.031164836,0.024641092,0.056054734,0.165572233,0.413679442,0.796022216,1.148954042
p05141,AR,0.006802493,0.008949592,0.012153627,0.014012806,0.019061977,0.032763875,0.078948349,0.166402893,0.283087835,0.408517885
p05143,AR,0.527193193,0.939670769,1.545536187,1.69037184,2.037306861,5.433664091,17.39385645,42.59146912,80.91377536,113.9522338
p05001,AR,0.040814957,0.042962635,0.046588902,0.102033997,0.27709605,0.398306495,0.786193978,1.2502018,1.546594551,2.185344829
p05003,AR,0.023808725,0.026368995,0.030384067,0.057879037,0.14412714,0.212155052,0.432022911,0.72583802,0.971328903,1.384406379
p05005,AR,0.017006232,0.023199744,0.032409671,0.031385049,0.025570944,0.056349172,0.163379223,0.404512646,0.773946559,1.119745516
p05011,AR,0.010203739,0.011772862,0.014179231,0.029249042,0.076712833,0.111097668,0.22149398,0.359053477,0.457095955,0.646656456
p05013,AR,0.010203739,0.010947099,0.012153627,0.025243631,0.066484455,0.097451527,0.197370873,0.330054014,0.438916002,0.62111656
p05017,AR,0.006802493,0.007298066,0.008102418,0.010736548,0.01859705,0.029541765,0.065790291,0.125935267,0.196083776,0.281780731
p05019,AR,0.017006232,0.018245166,0.020256044,0.034328587,0.078107611,0.116979515,0.243424077,0.421239902,0.585654192,0.831770513
p05021,AR,0.010203739,0.010947099,0.012153627,0.020619174,0.046957552,0.070217153,0.145835145,0.252284018,0.350613374,0.498869843
p05025,AR,0.003401246,0.003649033,0.004051209,0.005918805,0.011623156,0.018345338,0.040570679,0.076781172,0.118169693,0.16961773
p05027,AR,0.081629914,0.082622218,0.085075386,0.188156457,0.513743515,0.733424036,1.434228345,2.250929449,2.728291479,3.852654855
p05029,AR,0.040814957,0.042136872,0.044563298,0.100120603,0.275701271,0.395026478,0.776325435,1.223691986,1.493353261,2.106941012
p05031,AR,0.051018696,0.050606682,0.050640111,0.057414086,0.075318054,0.13383595,0.33224097,0.711732349,1.22714681,1.772656464
p05035,AR,0.030611218,0.032841298,0.03646088,0.042038417,0.05718593,0.101366514,0.251099611,0.519553342,0.870040595,1.249329493
p05037,AR,0.010203739,0.011772862,0.014179231,0.017247473,0.02603587,0.043487242,0.101974951,0.205974959,0.337627694,0.48874598
p05039,AR,0.003401246,0.004474796,0.006076813,0.008272623,0.01487764,0.023160352,0.050439223,0.093740629,0.141543918,0.202454738
p05041,AR,0.030611218,0.032015535,0.034435275,0.080203656,0.225024309,0.321266272,0.62829728,0.989646546,1.206369721,1.701971314
p05043,AR,0.034012464,0.034013043,0.034435275,0.070294104,0.183180946,0.26544115,0.529611843,0.856177241,1.085602892,1.544942866
p05045,AR,0.646236817,0.711483084,0.814292985,1.958991311,5.584694208,7.910843841,15.30391821,23.54320227,27.62573675,38.89178683
p05049,AR,0.023808725,0.027194758,0.032409671,0.072784955,0.200383217,0.286735768,0.562506989,0.890286186,1.0933943,1.543259105
p05051,AR,0.04761745,0.050260701,0.05469132,0.058928646,0.06834416,0.131864193,0.349785047,0.772194498,1.363496455,1.993975052
p05053,AR,0.013604986,0.014596133,0.016204836,0.028519889,0.066949381,0.099964046,0.207239417,0.358224761,0.497351564,0.709523796
p05055,AR,0.020407478,0.021894199,0.024307253,0.030668159,0.049282183,0.081597098,0.189695339,0.376656868,0.607729849,0.871804265
p05057,AR,0.003401246,0.004474796,0.006076813,0.005740182,0.004184336,0.009366992,0.027412621,0.068286482,0.131155373,0.189664716
p05059,AR,0.231284756,0.290248166,0.37878803,0.752425081,1.927119338,2.724091932,5.254451246,8.059154032,9.409424109,13.23676226
p05063,AR,0.017006232,0.021548218,0.028358462,0.058277872,0.152495813,0.225685377,0.462725047,0.786074968,1.067422939,1.513088255
p05065,AR,0.010203739,0.011772862,0.014179231,0.025285221,0.059975487,0.088058029,0.178730291,0.299680416,0.39995896,0.567290314
p05067,AR,0.010203739,0.010947099,0.012153627,0.016545247,0.02975528,0.048212945,0.109650485,0.212106688,0.33373199,0.475154225
p05069,AR,0.108839885,0.101905327,0.093177804,0.158814373,0.363107407,0.536474606,1.097601356,1.833118674,2.433516531,3.443956304
p05073,AR,0.003401246,0.003649033,0.004051209,0.00492785,0.00743882,0.012762826,0.030702136,0.065634976,0.112975421,0.162320616
p05075,AR,0.017006232,0.01659364,0.016204836,0.026978403,0.060440414,0.089624428,0.184212815,0.315330831,0.432423162,0.615603577
p05077,AR,0.013604986,0.014596133,0.016204836,0.036337424,0.099959145,0.143530804,0.282898252,0.452537231,0.564877103,0.798973652
p05079,AR,0.006802493,0.008123829,0.010128022,0.017604718,0.040913511,0.060970874,0.126098058,0.218365104,0.303864924,0.431391622
p05081,AR,0.006802493,0.008123829,0.010128022,0.014852065,0.029290354,0.046883076,0.105264466,0.203323453,0.319447741,0.455087165
p05085,AR,0.023808725,0.029672047,0.038486484,0.037895974,0.033009764,0.069111999,0.194081359,0.463503895,0.866144891,1.251073476
p05091,AR,0.013604986,0.011293081,0.008102418,0.009855699,0.01487764,0.024816062,0.058114757,0.111914113,0.175306687,0.2616133
p05093,AR,0.010203739,0.014250151,0.020256044,0.019464259,0.015342567,0.034187951,0.099781941,0.249957978,0.481768748,0.696653479
p05095,AR,0.003401246,0.003649033,0.004051209,0.004157107,0.004184336,0.008420872,0.023026602,0.053274753,0.097392604,0.140429278
p05099,AR,0.003401246,0.004474796,0.006076813,0.00695135,0.009298525,0.015953533,0.03837767,0.080486596,0.136349646,0.196059727
p05103,AR,0.010203739,0.012598625,0.016204836,0.016738533,0.017202272,0.034540298,0.094299417,0.221435343,0.409048937,0.59178759
p05105,AR,0.003401246,0.004474796,0.006076813,0.007942305,0.013482861,0.021299515,0.047149709,0.090994107,0.142842486,0.204279016
p05107,AR,0.027209971,0.026714976,0.026332858,0.042380999,0.092055399,0.137007069,0.282898252,0.486171099,0.670061115,0.9503486
p05111,AR,0.013604986,0.014596133,0.016204836,0.023014582,0.043703068,0.068477029,0.150221165,0.281413667,0.428527457,0.612837049
p05115,AR,0.040814957,0.044614161,0.050640111,0.065011409,0.107397966,0.19721332,0.503295727,1.079192498,1.862146587,3.31604628
p05117,AR,0.003401246,0.004474796,0.006076813,0.007171562,0.010228378,0.017903681,0.043860194,0.091569449,0.154529598,0.222501725
p05119,AR,0.629230585,0.528911086,0.390941657,0.55018944,1.033066145,1.74440868,4.133823289,7.610712256,11.37545614,16.77633158
p05121,AR,0.006802493,0.008949592,0.012153627,0.018637263,0.038588879,0.059761718,0.129387572,0.237720943,0.354509078,0.504342678
p05123,AR,0.064623682,0.067680104,0.07292176,0.166876647,0.463996405,0.663033158,1.298261744,2.045916892,2.495847797,3.521598537
p05125,AR,0.108839885,0.10273109,0.095203409,0.136284205,0.261288557,0.410567735,0.903519997,1.642007584,2.419232282,3.495155313
p05133,AR,0.003401246,0.003649033,0.004051209,0.004267213,0.004649263,0.008804621,0.023026602,0.051613821,0.092198332,0.132230062
p05135,AR,0.006802493,0.008123829,0.010128022,0.010007395,0.008833599,0.018881204,0.053728738,0.13178195,0.250623634,0.362008826
p05137,AR,0.010203739,0.011772862,0.014179231,0.025945858,0.062765045,0.092252763,0.18750233,0.315585955,0.423333185,0.600127323
p05139,AR,0.020407478,0.022719962,0.026332858,0.039077815,0.078107611,0.120290935,0.258775145,0.471289557,0.696032476,0.994953083
p05145,AR,0.040814957,0.042136872,0.044563298,0.050132418,0.06462475,0.11791382,0.299345824,0.64025244,1.102484277,1.588504731
p05147,AR,0,0.001651526,0.004051209,0.003716682,0.002324631,0.005466696,0.016447573,0.041137983,0.079212651,0.11398728
p05149,AR,0.010203739,0.011772862,0.014179231,0.019449596,0.035334396,0.055892824,0.123905048,0.235357982,0.363599055,0.519818932
p04015,AZ,26.44707086,35.51277274,43.05656467,55.46390156,68.10121202,79.22750248,92.53459954,110.7612965,120.17288,152.2492256
p04003,AZ,16.54683663,22.59652155,27.79507481,35.45525593,43.14440521,49.36071239,56.70840974,67.69468899,73.25032334,92.84357097
p04005,AZ,12.80336443,15.04767239,15.981304,19.21972542,22.07600483,25.4040756,29.35533151,35.97229789,39.92204177,50.8118399
p04007,AZ,7.038762002,8.737037254,9.839048907,12.10907798,14.23832996,16.27616558,18.68327732,22.66357222,24.91052677,31.64416986
p04009,AZ,3.091309353,4.287087683,5.341402277,7.011109893,8.753986292,10.11382894,11.73285063,14.26822482,15.72062738,19.91080727
p04011,AZ,0.650726365,0.738747064,0.753183007,0.839821431,0.88588042,0.999230197,1.131516204,1.341576911,1.441861827,1.826176033
p04012,AZ,2.937605774,3.527277429,3.836228008,4.551150541,5.15298382,6.083506044,7.205680824,8.77419885,9.679383903,12.32406077
p04013,AZ,367.8931061,434.5316984,464.0846741,548.2200094,617.8700352,699.4983667,795.1067123,939.23444,1005.684836,1275.94119
p04017,AZ,11.18013973,14.12065983,16.17913372,20.62971178,25.09430987,29.39173563,34.55212907,41.9639139,46.17798871,58.51429001
p04021,AZ,30.4275626,36.51000318,39.67796685,47.54301957,54.39936943,62.29700701,71.63911964,86.71996493,95.12644007,120.9152903
p04025,AZ,27.52299591,36.14773849,42.97195076,55.33071905,67.91073646,78.57900975,91.2936887,109.4986804,119.0412549,150.9566433
p04027,AZ,23.65742274,28.71652402,31.59793395,38.44600043,44.69075119,51.25456403,59.02779696,70.43235839,76.1793514,96.69085732
p04001,AZ,6.34063173,7.739530367,8.566264964,10.42243432,12.11492193,14.06525395,16.39482999,19.69930788,21.45360394,27.17185282
p04019,AZ,135.2921881,190.7700748,240.8981961,309.482761,379.0689082,439.3260433,511.2187998,606.2535726,651.7116969,827.8583501
p04023,AZ,5.023377698,6.864954852,8.449473928,10.70890178,12.95346523,14.83659847,17.06445775,20.3820057,22.06718312,27.94897554
p06035,CA,3.054493159,4.534420019,6.576350766,8.201308883,9.661881,10.67660403,11.66083216,13.25696589,15.2407087,17.63855244
p06049,CA,0.515484444,0.575241116,0.597543165,0.64682848,0.643974763,0.679754843,0.703787209,0.808594698,0.939623109,1.109669699
p06093,CA,3.411367004,4.165728867,4.922135224,6.121805417,7.192181296,7.927635519,8.634322312,10.00145113,11.71739551,13.77248209
p06001,CA,125.7521822,166.8320696,217.2288842,271.9829762,321.7151043,370.4120584,422.6410831,484.5309496,561.8169553,657.1546259
p06003,CA,0.262698803,0.341729249,0.435497561,0.528697491,0.605562233,0.722291067,0.853313885,1.01577695,1.221838199,1.442700242
p06005,CA,3.95535179,5.898644127,8.588417017,11.11075891,13.56979101,15.55236748,17.66213588,20.33064925,23.66997026,27.57525231
p06007,CA,24.36159655,37.66506022,56.49539936,71.99047816,86.65414788,96.48259151,106.2595017,122.3606588,142.5131511,166.0116866
p06009,CA,6.009854694,8.904008962,12.89162806,16.83450954,20.74163626,25.39965736,30.74853063,36.1287493,42.92185236,49.82531753
p06011,CA,1.89465316,2.801384763,4.048889469,5.321897966,6.596787086,7.954095185,9.4932575,11.00828331,12.91079343,14.97512035
p06013,CA,82.65718708,116.1646656,160.3261202,201.2087981,238.5632753,273.6943764,311.1458992,361.413377,424.5849456,496.1481665
p06015,CA,1.337037776,1.446005391,1.425776253,1.542872277,1.535371408,1.61847609,1.672899948,1.906164823,2.19646473,2.577222756
p06017,CA,20.08282784,29.27247766,41.78075826,54.48470594,67.04455147,80.56496608,95.84997175,110.5838697,129.0423029,149.7889324
p06019,CA,74.78365786,105.2622264,145.4933208,185.6158129,223.6795498,261.2361293,302.3766656,348.5474646,406.3645706,473.8040332
p06021,CA,3.37047521,5.754921134,9.282737418,12.20565985,15.1345367,16.76211944,18.35355622,20.95305299,24.19174002,28.05845744
p06023,CA,10.64054067,13.71254847,17.29161634,20.86241825,23.73555401,27.90470568,32.51024717,37.69943585,44.21588511,51.77020917
p06031,CA,10.17833947,14.9822523,21.57007041,28.38434124,35.22090039,41.88369738,49.33930586,56.78879973,66.11052557,76.67519416
p06033,CA,8.247751101,12.7605434,19.15063952,24.83800939,30.40803638,34.62247625,39.05232029,45.19659824,52.90548462,61.7294536
p06039,CA,12.30843024,17.9322112,25.58407506,33.83725244,42.18147673,50.19660956,59.1720901,69.42116707,82.35430108,96.2044403
p06041,CA,23.21414801,29.64725391,36.99928762,44.30373601,49.9882585,58.06212877,66.83954819,76.98575626,89.68642413,105.3742707
p06043,CA,1.988828203,2.888109327,4.108531254,5.305750978,6.469121913,7.938396679,9.628168787,11.53046407,13.94776981,16.44381381
p06045,CA,8.86732375,12.41847969,17.08230743,21.73828264,26.131818,31.3513766,37.2433848,43.34321362,51.01529983,59.70092024
p06047,CA,27.66267962,44.33062116,68.36186391,86.79362293,104.0990853,115.5908514,126.924538,145.0697905,167.69155,194.3642155
p06053,CA,29.71718253,41.30314282,56.39862212,70.18660431,82.50898401,95.01577847,108.433822,124.9765037,145.6908055,169.9026375
p06055,CA,16.23652084,25.55210019,38.86393738,43.94515877,46.34471708,52.2992245,58.43907211,67.68964259,79.30025251,92.47007459
p06057,CA,11.51785554,16.61150654,23.48535943,30.75735894,37.99790033,46.71940542,56.76392364,66.04748613,77.72291081,90.39059188
p06061,CA,40.12352474,59.865774,87.2007907,114.9831602,142.9443208,162.7814606,183.6389942,209.1828575,240.9668385,279.9222052
p06063,CA,3.071841193,4.255842954,5.793130346,7.173499763,8.389748398,9.806233843,11.35953029,13.33347862,15.82482831,18.64190257
p06067,CA,86.460124,105.9181919,125.6641153,151.5081284,172.2417832,191.7592981,211.1687664,239.5663597,274.8140537,321.4557675
p06069,CA,3.908264269,5.047077014,6.379420344,7.900656114,9.241602733,11.13215934,13.27414629,15.6171855,18.57697236,21.92811904
p06075,CA,68.83576043,82.85843794,96.08741664,110.7677819,119.618877,135.4546766,151.9112324,173.5992509,200.6352394,235.2922658
p06077,CA,58.78629207,86.36528565,124.131434,158.2864648,190.656072,217.8552828,246.6414405,282.2177376,326.598335,379.6695764
p06079,CA,24.13978954,31.62404257,40.61718079,50.77718153,59.96873754,73.07909184,88.07795741,103.0213138,121.8556628,142.6919156
p06081,CA,55.77764728,73.61875392,95.32782787,112.9795048,126.015693,146.4423734,168.6649657,194.9672913,227.9488471,267.231494
p06083,CA,34.69854662,45.53131622,58.58511246,74.69986541,89.97005302,107.839191,127.9925857,150.2532244,178.350092,209.2407401
p06085,CA,167.8893181,215.8586726,271.4792767,332.1469799,383.6033385,444.1921273,509.7622946,579.847474,666.9803613,779.4806923
p06087,CA,23.39754151,32.43076968,44.16530433,56.18202993,67.51228051,78.13577385,89.6238159,103.5262673,120.9532308,140.782105
p06089,CA,16.4298275,22.49988643,30.27664568,38.75141863,46.84520975,54.89970741,63.76244661,72.72233628,83.87913765,97.59979109
p06091,CA,0.484505811,0.686707901,0.955393874,1.252074947,1.547798991,1.935908963,2.387929764,2.846397203,3.428147641,4.031924946
p06095,CA,40.5547473,60.85106393,89.05981388,110.886175,130.4184468,148.2511288,166.9336042,189.5085943,217.5407984,252.6313676
p06097,CA,73.30040094,89.75544273,106.4257011,130.9378629,152.1147474,175.7573785,201.2584081,228.9549726,263.3909057,306.8781816
p06099,CA,47.66248473,66.77917677,91.89673727,112.9822036,131.1573231,147.237489,163.6069167,185.2741755,212.1371451,246.3818104
p06101,CA,9.863596569,15.15489214,22.61774025,29.73581729,36.86699027,42.22865817,47.92835866,54.88420385,63.56512047,73.87005377
p06103,CA,4.760796234,6.511701724,8.751587938,11.01012358,13.08624504,15.83115376,18.95278718,22.19913798,26.2930392,30.8227533
p06105,CA,0.814118461,0.882358029,0.873245755,0.889692476,0.808922684,0.828336924,0.825207367,0.934410427,1.069792084,1.236395669
p06109,CA,6.967714009,10.65248725,15.83433122,20.79518367,25.75673094,29.14523338,32.66089811,37.53040177,43.61863922,50.85528482
p06113,CA,15.89947331,21.52755797,28.63593394,35.18779678,40.82574039,46.27115698,51.94084516,59.84090616,69.73119203,81.36584748
p06115,CA,6.019767856,8.602802673,12.06114434,15.55415661,18.9396367,23.07939167,27.81533442,32.27504486,37.87698416,44.14643906
p06025,CA,14.76069879,19.62116477,25.60208013,30.15789637,33.40421369,36.66547864,39.74598915,44.9611034,51.42221461,59.58894467
p06027,CA,1.961567006,2.764652228,3.826076763,4.953651126,6.054492549,7.515389758,9.208819539,11.26467492,13.8919831,16.51538732
p06029,CA,67.60776744,99.18135226,142.370567,182.548466,221.0584595,258.1889191,298.8655994,343.6774905,399.7259528,465.571759
p06037,CA,822.2249491,1131.313379,1529.513572,1913.579662,2261.734268,2607.991931,2980.272382,3416.8149,3961.96514,4644.181987
p06051,CA,1.981393331,2.591696283,3.323060201,4.08602921,4.743947418,5.792539964,6.994025925,8.528924805,10.48899417,12.56308916
p06059,CA,224.7388261,297.0919674,385.3556997,487.2708878,582.0865284,692.503052,816.1143461,955.0163739,1130.118295,1327.704098
p06065,CA,168.0442113,234.6285565,321.802314,406.1774291,484.3469763,572.103505,669.5827012,788.4729681,938.7075507,1106.373628
p06071,CA,163.6291366,229.8210197,317.0062143,418.0083365,519.6616485,622.8850657,739.3059782,867.5978475,1029.50424,1208.743682
