Town,County,planning_region_FIPS,2016,2017,2018,2019,2020,2021,2022,2023
Windsor,Hartford,p09110,28875,28898,28760,28733,29413,29376,29453,29372
Windsor Locks,Hartford,p09110,12512,12554,12876,12854,12592,12531,12537,12529
East Windsor,Hartford,p09110,11355,11395,11375,11668,11167,11161,11176,11170
Rocky Hill,Hartford,p09110,20119,20105,20145,20115,20780,20746,20712,20708
Suffield,Hartford,p09110,15625,15698,15743,15814,15725,15862,15731,15650
Bristol,Hartford,p09140,60147,60223,60032,59947,60786,60661,61330,61601
Burlington,Hartford,p09160,9614,9640,9665,9704,9520,9591,9710,9746
Hartland,Hartford,p09160,2117,2112,2120,2120,1900,1891,1908,1912
Thomaston,Litchfield,p09140,7595,7602,7560,7535,7426,7453,7468,7501
Watertown,Litchfield,p09140,21790,21740,21641,21578,22083,22110,22183,22274
Woodbury,Litchfield,p09140,9591,9557,9537,9502,9711,9761,9802,9862
Plymouth,Litchfield,p09140,11749,11718,11645,11598,11668,11659,11711,11766
Bethlehem,Litchfield,p09140,3447,3439,3422,3402,3380,3386,3409,3421
Litchfield,Litchfield,p09160,8175,8168,8127,8094,8165,8170,8279,8293
New Hartford,Litchfield,p09160,6733,6718,6685,6656,6652,6668,6698,6709
Norfolk,Litchfield,p09160,1632,1642,1640,1630,1585,1587,1594,1596
North Canaan,Litchfield,p09160,3186,3279,3254,3251,3198,3185,3209,3204
Sharon,Litchfield,p09160,2714,2718,2703,2689,2675,2675,2724,2744
Torrington,Litchfield,p09160,34646,34538,34228,34044,35422,35357,35563,35550
Warren,Litchfield,p09160,1408,1410,1399,1395,1348,1349,1352,1367
Washington,Litchfield,p09160,3452,3453,3434,3428,3644,3633,3666,3685
Winchester,Litchfield,p09160,10754,10739,10655,10604,10226,10217,10240,10236
Barkhamsted,Litchfield,p09160,3664,3651,3624,3606,3650,3647,3667,3677
Roxbury,Litchfield,p09160,2176,2171,2160,2152,2260,2269,2279,2297
Salisbury,Litchfield,p09160,3618,3623,3598,3600,4191,4112,4239,4240
Canaan,Litchfield,p09160,1177,1062,1055,1053,1081,1078,1081,1082
Colebrook,Litchfield,p09160,1430,1413,1405,1400,1360,1357,1369,1368
Cornwall,Litchfield,p09160,1380,1376,1368,1362,1566,1571,1573,1575
Goshen,Litchfield,p09160,2891,2888,2879,2863,3148,3165,3203,3232
Harwinton,Litchfield,p09160,5466,5452,5430,5420,5470,5508,5562,5612
Kent,Litchfield,p09160,2819,2800,2785,2777,3014,2984,3051,3066
Morris,Litchfield,p09160,2279,2277,2262,2254,2250,2259,2267,2272
New Milford,Litchfield,p09190,27151,27099,26974,26805,28106,28182,28275,28276
Bridgewater,Litchfield,p09190,1648,1644,1641,1635,1659,1658,1652,1646
Westbrook,Middlesex,p09130,6933,6956,6914,6869,6757,6810,6860,6881
Deep River,Middlesex,p09130,4482,4494,4463,4443,4412,4462,4445,4454
East Haddam,Middlesex,p09130,9023,9036,8988,8997,8872,8965,8949,8987
East Hampton,Middlesex,p09130,12869,12901,12854,12800,12709,12874,12960,12989
Essex,Middlesex,p09130,6539,6588,6674,6668,6713,6759,6793,6802
Haddam,Middlesex,p09130,8260,8264,8222,8193,8449,8529,8670,8773
Killingworth,Middlesex,p09130,6419,6401,6370,6364,6173,6268,6239,6254
Middlefield,Middlesex,p09130,4387,4393,4380,4374,4217,4274,4248,4257
Old Saybrook,Middlesex,p09130,10093,10132,10087,10061,10442,10563,10535,10571
Portland,Middlesex,p09130,9349,9360,9305,9267,9371,9462,9429,9428
Middletown,Middlesex,p09130,46544,46478,46146,46258,47676,47108,48729,47984
Chester,Middlesex,p09130,4255,4254,4229,4213,3744,3752,3757,3761
Cromwell,Middlesex,p09130,13960,13956,13905,13839,14203,14302,14317,14363
Durham,Middlesex,p09130,7255,7240,7195,7165,7151,7231,7207,7204
Clinton,Middlesex,p09130,12961,12957,12950,12925,13174,13400,13399,13402
Cheshire,New Haven,p09140,29282,29330,29179,28937,28728,28628,28994,29200
Derby,New Haven,p09140,12631,12581,12515,12339,12326,12274,12358,12406
Seymour,New Haven,p09140,16553,16583,16509,16437,16707,16679,16809,16953
Naugatuck,New Haven,p09140,31392,31461,31288,31108,31517,31433,31705,31820
Wolcott,New Haven,p09140,16643,16672,16649,16587,16117,16160,16190,16309
Beacon Falls,New Haven,p09140,6095,6168,6182,6222,5993,6033,6126,6206
Middlebury,New Haven,p09140,7641,7725,7731,7798,7577,7684,7807,7936
Waterbury,New Haven,p09140,108272,108629,108093,107568,114426,113811,115016,114990
Oxford,New Haven,p09140,12984,13035,13226,13255,12702,12768,12941,13125
Southbury,New Haven,p09140,19572,19571,19656,19571,19786,19796,19979,20127
Prospect,New Haven,p09140,9755,9797,9790,9702,9403,9344,9435,9479
Ansonia,New Haven,p09140,18732,18813,18721,18654,18902,18815,18923,19008
East Haven,New Haven,p09170,28807,28857,28699,28569,27874,27804,27682,27533
Woodbridge,New Haven,p09170,8842,8853,8805,8750,9074,9045,9051,9021
Hamden,New Haven,p09170,61125,61284,60940,60556,61065,60923,60809,60014
Meriden,New Haven,p09170,59622,59927,59540,59395,60794,60517,60242,60111
New Haven,New Haven,p09170,129934,131014,130418,130250,134052,135081,138915,135319
North Branford,New Haven,p09170,14198,14208,14158,14146,13535,13498,13464,13415
North Haven,New Haven,p09170,23709,23751,23691,23683,24237,24169,24114,24295
Orange,New Haven,p09170,13912,13997,13949,13926,14255,14246,14258,14322
Wallingford,New Haven,p09170,44660,44741,44535,44326,44317,44194,44017,43725
West Haven,New Haven,p09170,54516,54843,54879,54620,55536,55294,55004,54790
Milford,New Haven,p09170,54054,54508,54661,54747,51954,52390,52679,52793
Madison,New Haven,p09170,18151,18196,18106,18030,17658,17619,17565,17498
Bethany,New Haven,p09170,5488,5497,5479,5548,5294,5288,5277,5271
Branford,New Haven,p09170,28028,28111,28005,27900,28220,28176,28148,28031
Guilford,New Haven,p09170,22277,22283,22216,22133,22045,22031,22019,22020
Lyme,New London,p09130,2355,2354,2338,2316,2352,2344,2401,2409
Old Lyme,New London,p09130,7469,7432,7366,7306,7615,7577,7684,7696
Voluntown,New London,p09150,2565,2558,2535,2510,2564,2554,2592,2612
Bozrah,New London,p09180,2578,2563,2537,2726,2422,2417,2420,2412
Colchester,New London,p09180,16061,16029,15936,15809,15548,15501,15572,15504
East Lyme,New London,p09180,18886,18789,18645,18462,18645,18849,18788,18929
Franklin,New London,p09180,1955,1944,1933,1920,1863,1862,1881,1891
Griswold,New London,p09180,11719,11687,11591,11534,11411,11407,11509,11624
Groton,New London,p09180,39261,39075,38692,38436,38445,38456,37743,37878
Montville,New London,p09180,19231,19149,18716,18508,18377,18478,17891,17814
North Stonington,New London,p09180,5271,5270,5243,5196,5152,5137,5174,5165
Norwich,New London,p09180,39556,39470,39136,38768,40152,40014,40009,39881
Preston,New London,p09180,4685,4666,4638,4625,4784,4802,4840,4829
Salem,New London,p09180,4167,4141,4123,4083,4214,4200,4326,4319
Sprague,New London,p09180,2921,2914,2889,2859,2973,2950,2958,2940
Waterford,New London,p09180,19101,19007,18887,18746,19516,19553,19603,19829
Lebanon,New London,p09180,7197,7209,7207,7144,7142,7108,7132,7108
Lisbon,New London,p09180,4281,4274,4248,4220,4191,4198,4242,4228
Ledyard,New London,p09180,14911,14837,14736,14621,15420,15336,15456,15459
Stonington,New London,p09180,18647,18593,18449,18559,18288,18427,18480,18431
New London,New London,p09180,26984,27072,26939,26858,27376,27635,27980,27560
Bolton,Tolland,p09110,4930,4916,4890,4884,4868,4819,4834,4834
Ellington,Tolland,p09110,16071,16195,16299,16467,16428,16630,16977,16994
Hebron,Tolland,p09110,9529,9507,9482,9504,9102,9066,9121,9146
Somers,Tolland,p09110,11092,11106,10834,10784,10254,10279,9843,10725
Stafford,Tolland,p09110,11758,11949,11884,11893,11460,11412,11449,11567
Tolland,Tolland,p09110,14791,14722,14655,14618,14552,14511,14577,14574
Vernon,Tolland,p09110,29148,29289,29303,29359,30218,30326,30625,30596
Willington,Tolland,p09110,5872,5921,5887,5864,5568,5528,5544,5552
Andover,Tolland,p09110,3252,3248,3231,3236,3149,3133,3150,3144
Columbia,Tolland,p09110,5433,5418,5385,5379,5263,5246,5258,5268
Coventry,Tolland,p09110,12433,12439,12414,12407,12238,12205,12285,12308
Mansfield,Tolland,p09110,25969,25912,25817,25487,25883,26357,31949,25401
Union,Tolland,p09150,840,839,840,839,784,781,793,797
Hampton,Windham,p09150,1837,1844,1853,1842,1729,1728,1738,1740
Sterling,Windham,p09150,3741,3742,3780,3782,3581,3577,3623,3644
Thompson,Windham,p09150,9266,9288,9395,9379,9185,9226,9315,9385
Woodstock,Windham,p09150,7823,7809,7862,7858,8228,8221,8312,8346
Putnam,Windham,p09150,9333,9357,9395,9389,9219,9227,9302,9312
Killingly,Windham,p09150,17069,17172,17287,17336,17738,17742,17837,17945
Ashford,Windham,p09150,4236,4244,4261,4255,4185,4186,4222,4229
Brooklyn,Windham,p09150,8205,8208,8280,8272,8451,8488,8502,8612
Canterbury,Windham,p09150,5065,5075,5100,5079,5041,5060,5102,5140
Chaplin,Windham,p09150,2246,2241,2256,2239,2141,2143,2156,2157
Eastford,Windham,p09150,1750,1756,1790,1790,1650,1660,1675,1689
Plainfield,Windham,p09150,15067,15093,15173,15125,14984,14959,15143,15193
Pomfret,Windham,p09150,4149,4167,4204,4203,4270,4271,4307,4313
Scotland,Windham,p09150,1678,1677,1685,1672,1576,1568,1577,1578
Windham,Windham,p09180,24727,24686,24706,24561,24426,24362,24399,23833
