"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2016/01/01 15:00:00","MILLWD","301","20"
"2016/01/01 15:00:00","N.Y.C.","5308","20"
"2016/01/01 15:00:00","NORTH","527","20"
"2016/01/01 15:00:00","WEST","1677","20"
"2016/01/01 16:00:00","CAPITL","1362","21"
"2016/01/01 16:00:00","CENTRL","1760","21"
"2016/01/01 16:00:00","DUNWOD","679","21"
"2016/01/01 16:00:00","GENESE","1074","21"
"2016/01/01 16:00:00","HUD VL","1070","21"
"2016/01/01 16:00:00","LONGIL","2366","21"
"2016/01/01 16:00:00","MHK VL","773","21"
"2016/01/01 16:00:00","MILLWD","308","21"
"2016/01/01 16:00:00","N.Y.C.","5419","21"
"2016/01/01 16:00:00","NORTH","531","21"
"2016/01/01 16:00:00","WEST","1726","21"
"2016/01/01 17:00:00","CAPITL","1458","22"
"2016/01/01 17:00:00","CENTRL","1866","22"
"2016/01/01 17:00:00","DUNWOD","749","22"
"2016/01/01 17:00:00","GENESE","1158","22"
"2016/01/01 17:00:00","HUD VL","1183","22"
"2016/01/01 17:00:00","LONGIL","2681","22"
"2016/01/01 17:00:00","MHK VL","821","22"
"2016/01/01 17:00:00","MILLWD","364","22"
"2016/01/01 17:00:00","N.Y.C.","5703","22"
"2016/01/01 17:00:00","NORTH","551","22"
"2016/01/01 17:00:00","WEST","1871","22"
"2016/01/01 18:00:00","CAPITL","1447","23"
"2016/01/01 18:00:00","CENTRL","1839","23"
"2016/01/01 18:00:00","DUNWOD","757","23"
"2016/01/01 18:00:00","GENESE","1147","23"
"2016/01/01 18:00:00","HUD VL","1208","23"
"2016/01/01 18:00:00","LONGIL","2730","23"
"2016/01/01 18:00:00","MHK VL","813","23"
"2016/01/01 18:00:00","MILLWD","371","23"
"2016/01/01 18:00:00","N.Y.C.","5742","23"
"2016/01/01 18:00:00","NORTH","550","23"
"2016/01/01 18:00:00","WEST","1873","23"
"2016/01/01 19:00:00","CAPITL","1414","0"
"2016/01/01 19:00:00","CENTRL","1809","0"
"2016/01/01 19:00:00","DUNWOD","743","0"
"2016/01/01 19:00:00","GENESE","1114","0"
"2016/01/01 19:00:00","HUD VL","1195","0"
"2016/01/01 19:00:00","LONGIL","2697","0"
"2016/01/01 19:00:00","MHK VL","787","0"
"2016/01/01 19:00:00","MILLWD","362","0"
"2016/01/01 19:00:00","N.Y.C.","5668","0"
"2016/01/01 19:00:00","NORTH","547","0"
"2016/01/01 19:00:00","WEST","1844","0"
"2016/01/01 20:00:00","CAPITL","1374","1"
"2016/01/01 20:00:00","CENTRL","1750","1"
"2016/01/01 20:00:00","DUNWOD","730","1"
"2016/01/01 20:00:00","GENESE","1082","1"
"2016/01/01 20:00:00","HUD VL","1166","1"
"2016/01/01 20:00:00","LONGIL","2643","1"
"2016/01/01 20:00:00","MHK VL","754","1"
"2016/01/01 20:00:00","MILLWD","351","1"
"2016/01/01 20:00:00","N.Y.C.","5575","1"
"2016/01/01 20:00:00","NORTH","543","1"
"2016/01/01 20:00:00","WEST","1813","1"
"2016/01/01 21:00:00","CAPITL","1319","2"
